partner_label,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,1000675.5,1664159.8,2582567.0,2959188.3,2869632.4,2879988.8,3606216.9,4374672.1,4070998.0,3433073.5,3012863.6,3033260.0,2713368.5,3128994.4,2057972.1,1350831.1,752171.6,1541734.3
Egypt,,121610.7,,,,,,345136.8,314938.6,295321.4,277844.6,,,,,,,666891.2
Greece,,,,,207123.6,,,,,,,,,,,,,
India,255731.9,489435.8,424715.1,662668.4,585087.3,679367.9,906823.0,1115939.1,1109715.3,730039.4,864086.9,736830.1,614812.5,738278.0,1017673.6,1115736.3,1046976.4,1639075.1
Japan,119447.1,154658.0,169061.6,221552.6,,196136.6,267283.2,412931.0,279410.6,240030.5,277467.0,298295.1,315724.6,308921.9,414952.8,591314.8,574858.2,986460.4
Norway,122734.2,,170879.3,186825.8,219740.3,170941.3,280551.6,388912.5,416619.2,305536.0,272031.4,269387.3,280220.5,365254.0,362917.5,430084.9,391984.3,
Pakistan,,,,,,,,,,,,178452.8,191022.0,206924.6,308679.0,335876.0,408954.3,614571.8
South Korea,164758.3,170065.0,327485.9,458886.7,218576.9,230111.2,528447.4,712487.2,482346.0,269185.6,325721.5,334245.1,234615.7,227501.4,271374.9,321995.6,383632.7,527039.1
Switzerland,338102.2,315103.1,316276.3,290439.1,350449.7,317295.1,1021124.9,1448148.4,1729000.3,844049.8,563434.9,515392.5,496994.4,705966.5,915901.8,1081335.4,756549.8,986954.6
Taiwan,223071.8,212711.0,308433.8,451066.1,460066.0,216589.3,269081.8,,,,,,,,,,,
Turkey,705284.7,631042.5,711708.4,1069452.0,1636319.2,1235533.0,2433089.4,2575138.2,2781370.1,2211788.8,2050024.8,1329669.2,1608511.2,2538191.1,2758656.3,2671843.8,3085025.1,5059297.4
UK,612329.8,662696.3,856397.9,960125.1,930864.5,554220.3,895287.5,1102598.8,1115709.3,982485.6,1002906.7,961904.8,946661.3,893838.5,1178829.6,1104784.4,1221239.4,2124205.5
USA,323032.5,340108.1,556041.2,521631.2,683811.1,427525.2,736680.3,795955.1,882981.2,843611.8,888817.7,707774.5,690684.3,950632.5,1033445.8,1195916.6,1229880.8,1500769.9
